CASE_ID,COLLISION_DATE,MONTH,HOUR,DAY_OF_WEEK,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,COUNT_PED_KILLED,COUNT_BICYCLIST_KILLED,COUNT_MC_KILLED,STWD_VEHTYPE_AT_FAULT,COUNTY
9609077,2023-05-07,5,10,7,minor injury,0,1,other than driver or pedestrian,hit object,no,no,no,0,0,0,0,0,0,Not Stated,SANTA BARBARA
9609078,2023-07-22,7,21,6,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,SAN DIEGO
9609082,2023-07-30,7,15,7,possible injury,0,1,improper turning,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609083,2023-07-30,7,0,7,minor injury,0,1,DUI,other,no,no,no,0,0,0,0,0,0,Truck or Truck Tractor,SANTA BARBARA
9609085,2023-07-28,7,22,5,minor injury,0,1,unsafe speed,hit object,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,SAN DIEGO
9609087,2023-08-20,8,16,7,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Truck or Truck Tractor,FRESNO
9609088,2023-08-05,8,5,6,minor injury,0,1,unsafe lane change,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN BERNARDINO
9609089,2023-07-16,7,15,7,minor injury,0,1,unsafe speed,hit object,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,SAN DIEGO
9609091,2023-08-09,8,7,3,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609093,2023-07-21,7,16,5,minor injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Pickup or Panel Truck,SAN DIEGO
9609095,2023-07-26,7,13,3,severe injury,0,1,automobile right of way,broadside,no,no,yes,0,0,1,0,0,0,Pickup or Panel Truck,SAN DIEGO
9609099,2023-07-27,7,10,4,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609100,2023-08-15,8,13,2,severe injury,0,1,traffic signs,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609103,2023-07-07,7,21,5,possible injury,0,1,DUI,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609108,2023-08-11,8,22,5,minor injury,0,6,traffic signs,other,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609112,2023-08-11,8,12,5,possible injury,0,1,improper turning,sideswipe,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609113,2023-07-26,7,9,3,possible injury,0,1,other than driver or pedestrian,rear end,no,no,no,0,0,0,0,0,0,Not Stated,SAN DIEGO
9609115,2023-07-21,7,9,5,possible injury,0,1,improper turning,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609117,2023-07-26,7,10,3,possible injury,0,1,automobile right of way,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609122,2023-07-24,7,12,1,minor injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609141,2023-07-30,7,4,7,minor injury,0,1,DUI,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609142,2023-07-15,7,15,6,possible injury,0,1,unsafe starting or backing,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SANTA BARBARA
9609143,2023-07-22,7,16,6,minor injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
9609144,2023-07-12,7,18,3,severe injury,0,1,improper turning,vehicle/pedestrian,no,yes,no,0,1,0,0,0,0,Bicycle,SANTA CLARA
9609145,2023-07-22,7,19,6,minor injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609146,2023-07-24,7,18,1,minor injury,0,1,DUI,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN LUIS OBISPO
9609147,2023-07-04,7,22,2,minor injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609148,2023-07-21,7,13,5,minor injury,0,1,unsafe speed,broadside,no,no,yes,0,0,1,0,0,0,Motorcycle/Scooter,LOS ANGELES
9609149,2023-07-31,7,15,1,minor injury,0,1,following too closely,unknown,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609150,2023-07-15,7,18,6,minor injury,0,1,improper turning,head-on,no,no,yes,0,0,1,0,0,0,Not Stated,LOS ANGELES
9609151,2023-07-27,7,17,4,possible injury,0,1,improper turning,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609152,2023-07-29,7,9,6,minor injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,ORANGE
9609153,2023-07-12,7,14,3,possible injury,0,1,unsafe starting or backing,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Not Stated,SAN DIEGO
9609154,2023-07-22,7,18,6,minor injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
