CASE_ID,COUNT_BICYCLIST_INJURED,COUNT_BICYCLIST_KILLED,NUMBER_INJURED,NUMBER_KILLED,TYPE_OF_COLLISION,PCF_VIOL_CATEGORY,STWD_VEHTYPE_AT_FAULT,INTERSECTION,LIGHTING,COUNTY
6891620,1,0,1,0,unknown,improper turning,Not Stated,no,unknown,LOS ANGELES
6621247,1,0,1,0,rear end,unknown,Not Stated,yes,dusk-dawn,SANTA CLARA
8135683,1,0,1,0,broadside,traffic signs,Bicycle,yes,dark no street lights,LOS ANGELES
8577447,1,0,1,0,broadside,wrong side of road,Bicycle,yes,daylight,SANTA CLARA
8889265,1,0,1,0,vehicle/pedestrian,other hazardous violation,Passenger Car/Station Wagon,no,daylight,LOS ANGELES
9287159,1,0,1,0,unknown,wrong side of road,Bicycle,no,daylight,LOS ANGELES
9496510,1,0,1,0,overturned,unknown,Not Stated,no,daylight,ORANGE
9302163,1,0,1,0,broadside,other hazardous violation,Passenger Car/Station Wagon,yes,daylight,STANISLAUS
91621384,1,0,2,0,other,unsafe speed,Motorcycle/Scooter,yes,daylight,KERN
7180817,1,0,1,0,other,automobile right of way,Passenger Car/Station Wagon,yes,daylight,SANTA CLARA
8329654,1,0,1,0,other,automobile right of way,Pickup or Panel Truck,yes,dusk-dawn,ORANGE
8101337,1,0,1,0,sideswipe,traffic signs,Passenger Car/Station Wagon,no,dark street lights,SAN FRANCISCO
9468179,1,0,1,0,broadside,improper turning,Bicycle,no,dark street lights,SACRAMENTO
8487002,1,0,1,0,broadside,wrong side of road,Bicycle,yes,daylight,LOS ANGELES
81783916,1,0,1,0,broadside,traffic signs,Bicycle,no,daylight,SANTA CLARA
91599932,1,0,1,0,other,improper turning,Bicycle,no,daylight,LOS ANGELES
8492300,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,no,daylight,ORANGE
8150717,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,LOS ANGELES
9275464,1,0,1,0,vehicle/pedestrian,wrong side of road,Bicycle,no,dusk-dawn,SAN DIEGO
91097476,1,0,1,0,broadside,wrong side of road,Bicycle,no,dark street lights,SACRAMENTO
8521623,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,yes,dark street lights,LOS ANGELES
81638931,1,0,1,0,sideswipe,improper turning,Bicycle,yes,daylight,RIVERSIDE
9282685,0,0,1,0,other,pedestrian right of way,Bicycle,yes,daylight,SAN DIEGO
9256400,0,1,0,1,sideswipe,improper turning,Bicycle,no,daylight,SAN DIEGO
8958512,1,0,1,0,sideswipe,improper turning,Passenger Car/Station Wagon,yes,daylight,CONTRA COSTA
8697473,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,STANISLAUS
